ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1551884,HORTA RODRIGUEZ del REY Saidel Ivan,M,NA,170,NA,Cuba,CUB,2024 Summer,2024,Summer,Paris,Boxing,Mens 57kg,NA
1551906,PENA SALAS Ricardo,M,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Mens Omnium,NA
1551907,GUTIERREZ PRIETO Adair Zabdiel,M,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Mountain Bike,Mens Cross-country,NA
1551908,WILLIAMS Sada,F,NA,168,NA,Barbados,BAR,2024 Summer,2024,Summer,Paris,Athletics,Womens 400m,NA
1551912,RODRIGUEZ SUAREZ Erika Monserrath,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Mountain Bike,Womens Cross-country,NA
1551918,EVELYN Tristan,F,NA,163,NA,Barbados,BAR,2024 Summer,2024,Summer,Paris,Athletics,Womens 100m,NA
1552005,MOHD AFENDY Khairulnizam,M,NA,NA,NA,Malaysia,MAS,2024 Summer,2024,Summer,Paris,Sailing,Mens Dinghy,NA
1552017,FOO KUNE Kate,F,NA,162,NA,Mauritius,MRI,2024 Summer,2024,Summer,Paris,Badminton,Womens Singles,NA
1552020,PERRIER Marie,F,NA,168,NA,Mauritius,MRI,2024 Summer,2024,Summer,Paris,Athletics,Womens Marathon,NA
1552024,BIBI Gary Noa Jerrel,M,NA,178,NA,Mauritius,MRI,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
1552030,LO Chia-Ling,F,NA,NA,NA,Chinese Taipei,TPE,2024 Summer,2024,Summer,Paris,Taekwondo,Women -57kg,NA
1552033,HORODISTEANU Florin Bogdan,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Quadruple Sculls,NA
1552037,LEHACI Florin Sorin,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Eight,NA
